Len1,Len2,Len3,Len4,Len5,Len6,Roll, Pitch,Yaw
148.533333333,158.666666667,-1315.63333333,91.7,69.6666666667,145.866666667,1.17,-1.07,-89.9733333333
137.466666667,153.4,-2347.73333333,66.6,68.0666666667,147.133333333,1.15666666667,-0.683333333333,-90.0666666667
147.166666667,163.0,-2133.3,79.7,73.3333333333,161.166666667,1.19,-0.31,-90.0966666667
142.933333333,160.533333333,-2321.56666667,71.1,66.2,152.6,1.19333333333,-0.47,-90.08
132.733333333,154.833333333,76.3,60.8333333333,61.2666666667,137.4,1.94566201562,-0.713333333333,-90.0433333333
120.8,142.333333333,173.533333333,141.8,65.7333333333,142.566666667,4.02302360067,-1.19666666667,-89.8233333333
142.333333333,148.6,94.1333333333,155.633333333,97.0333333333,148.5,7.91938053468,-1.53,-89.6733333333
151.766666667,148.933333333,153.533333333,128.933333333,93.1666666667,190.333333333,11.9913994843,-1.53,-89.29
157.066666667,145.033333333,140.166666667,105.333333333,90.4,163.033333333,15.9634184339,-1.46333333333,-89.1533333333
150.533333333,252.266666667,129.233333333,134.133333333,96.5666666667,108.633333333,14.375427736,-1.55333333333,-89.1933333333
153.333333333,143.933333333,166.166666667,119.5,93.4333333333,106.366666667,10.6407045659,-1.47333333333,-89.3666666667
108.666666667,154.466666667,134.633333333,113.8,88.5333333333,147.533333333,4.08069491839,-1.47333333333,-89.7533333333
109.166666667,282.7,133.633333333,140.8,75.2666666667,153.333333333,-5.39604720135,-1.06333333333,-90.38
117.0,153.833333333,151.266666667,140.866666667,66.9333333333,159.433333333,-9.7413994843,-0.776666666667,-90.44
117.366666667,155.066666667,151.333333333,126.5,66.3666666667,167.733333333,-13.9567517673,-0.436666666667,-90.6233333333
119.633333333,146.9,110.466666667,149.233333333,67.2666666667,172.866666667,-12.385427736,-0.54,-90.6133333333
117.033333333,164.666666667,129.633333333,96.9,64.8333333333,158.9,-9.42907080202,0.252328682284,-90.4966666667
109.666666667,267.0,177.3,137.033333333,79.9666666667,190.166666667,-5.12371851906,2.16302360067,-90.2133333333
111.2,164.566666667,107.6,136.266666667,89.2333333333,151.866666667,0.84,5.40938053468,-89.9433333333
151.733333333,186.433333333,124.266666667,132.933333333,88.4333333333,110.066666667,1.05,9.48806615097,-90.01
148.266666667,163.966666667,130.9,149.9,93.9666666667,148.6,1.27,13.2200851006,-89.9966666667
85.7666666667,163.033333333,143.2,151.866666667,103.366666667,146.1,1.23666666667,11.645427736,-90.0933333333
151.466666667,168.166666667,141.333333333,188.333333333,99.1666666667,156.133333333,1.15666666667,8.01737123258,-90.16
104.133333333,184.7,280.233333333,146.566666667,92.7,199.8,1.02666666667,1.50736158506,-90.1533333333
112.133333333,314.9,141.2,164.866666667,73.9,163.466666667,0.753333333333,-7.55271386801,-90.33
127.2,296.966666667,102.2,64.2,69.9666666667,185.2,0.69,-11.2913994843,-90.0233333333
116.933333333,302.033333333,-1272.93333333,65.7333333333,65.7,131.6,0.683333333333,-14.6034184339,-89.85
122.733333333,305.833333333,-2309.8,62.8666666667,63.8333333333,180.066666667,0.7,-13.1287610694,-89.82
114.433333333,301.066666667,121.8,57.5,67.3333333333,187.866666667,0.733333333333,-10.6724041354,-89.081004651
111.366666667,292.4,110.866666667,70.4,72.2,156.566666667,0.696666666667,-7.0670518524,-87.6703097327
128.066666667,290.266666667,148.6,77.9666666667,85.9,87.0666666667,0.316666666667,-1.59666666667,-85.6006194653
106.566666667,300.233333333,126.7,59.4,89.0666666667,160.566666667,-0.0866666666667,-1.20333333333,-83.7286005157
125.466666667,307.4,137.866666667,59.1333333333,87.5333333333,194.933333333,-0.223333333333,-0.85,-81.4899148994
126.633333333,305.933333333,152.066666667,98.6,89.2,173.2,-0.176666666667,-0.903333333333,-83.3679055973
127.6,105.866666667,146.1,137.3,88.6,155.266666667,0.0666666666667,-1.10333333333,-86.1659621008
161.1,287.833333333,186.133333333,171.733333333,122.266666667,150.766666667,0.536666666667,-1.39,-90.0559717483
104.066666667,151.9,131.966666667,137.6,79.9333333333,143.733333333,1.45333333333,-1.43333333333,-95.1693805347
99.9,160.4,121.066666667,164.7,82.5666666667,147.566666667,1.91,-1.25333333333,-96.4613994843
